Agent 0 has 0.0920 amount of cash, 0.9080 amount of wheat, and a 0.5000 exponent.
Agent 33 has 0.0920 amount of cash, 0.9080 amount of wheat, and a 0.5000 exponent.
Agent 34 has 0.2871 amount of cash, 0.7129 amount of wheat, and a 0.5000 exponent.
Agent 35 has 0.2834 amount of cash, 0.7166 amount of wheat, and a 0.5000 exponent.
Agent 36 has 0.0669 amount of cash, 0.9331 amount of wheat, and a 0.5000 exponent.
Agent 37 has 0.2165 amount of cash, 0.7835 amount of wheat, and a 0.5000 exponent.
Agent 38 has 0.0469 amount of cash, 0.9531 amount of wheat, and a 0.5000 exponent.
Agent 39 has 0.4682 amount of cash, 0.5318 amount of wheat, and a 0.5000 exponent.
Agent 40 has 0.4126 amount of cash, 0.5874 amount of wheat, and a 0.5000 exponent.
Agent 41 has 0.1983 amount of cash, 0.8017 amount of wheat, and a 0.5000 exponent.
Agent 42 has 0.2032 amount of cash, 0.7968 amount of wheat, and a 0.5000 exponent.
Agent 43 has 0.2581 amount of cash, 0.7419 amount of wheat, and a 0.5000 exponent.
Agent 44 has 0.0731 amount of cash, 0.9269 amount of wheat, and a 0.5000 exponent.
Agent 45 has 0.4055 amount of cash, 0.5945 amount of wheat, and a 0.5000 exponent.
Agent 46 has 0.0118 amount of cash, 0.9882 amount of wheat, and a 0.5000 exponent.
Agent 47 has 0.0670 amount of cash, 0.9330 amount of wheat, and a 0.5000 exponent.
Agent 48 has 0.4431 amount of cash, 0.5569 amount of wheat, and a 0.5000 exponent.
Agent 49 has 0.1834 amount of cash, 0.8166 amount of wheat, and a 0.5000 exponent.

Agent 0 has 0.0920 amount of cash, 0.9080 amount of wheat, and a 0.5000 exponent.
Agent 1 has 0.4598 amount of cash, 0.5402 amount of wheat, and a 0.5000 exponent.
Agent 2 has 0.0366 amount of cash, 0.9634 amount of wheat, and a 0.5000 exponent.
Agent 3 has 0.0143 amount of cash, 0.9857 amount of wheat, and a 0.5000 exponent.
Agent 4 has 0.2012 amount of cash, 0.7988 amount of wheat, and a 0.5000 exponent.
Agent 5 has 0.0456 amount of cash, 0.9544 amount of wheat, and a 0.5000 exponent.
Agent 6 has 0.4985 amount of cash, 0.5015 amount of wheat, and a 0.5000 exponent.
Agent 7 has 0.2199 amount of cash, 0.7801 amount of wheat, and a 0.5000 exponent.
Agent 8 has 0.1405 amount of cash, 0.8595 amount of wheat, and a 0.5000 exponent.
Agent 9 has 0.0773 amount of cash, 0.9227 amount of wheat, and a 0.5000 exponent.
Agent 10 has 0.1500 amount of cash, 0.8500 amount of wheat, and a 0.5000 exponent.
Agent 11 has 0.3111 amount of cash, 0.6889 amount of wheat, and a 0.5000 exponent.
Agent 12 has 0.1147 amount of cash, 0.8853 amount of wheat, and a 0.5000 exponent.
Agent 13 has 0.4822 amount of cash, 0.5178 amount of wheat, and a 0.5000 exponent.
Agent 14 has 0.2410 amount of cash, 0.7590 amount of wheat, and a 0.5000 exponent.
Agent 15 has 0.0445 amount of cash, 0.9555 amount of wheat, and a 0.5000 exponent.
Agent 16 has 0.0483 amount of cash, 0.9517 amount of wheat, and a 0.5000 exponent.
Agent 17 has 0.1815 amount of cash, 0.8185 amount of wheat, and a 0.5000 exponent.
Agent 18 has 0.1875 amount of cash, 0.8125 amount of wheat, and a 0.5000 exponent.
Agent 19 has 0.0116 amount of cash, 0.9884 amount of wheat, and a 0.5000 exponent.
Agent 20 has 0.0702 amount of cash, 0.9298 amount of wheat, and a 0.5000 exponent.
Agent 21 has 0.1808 amount of cash, 0.8192 amount of wheat, and a 0.5000 exponent.
Agent 22 has 0.4335 amount of cash, 0.5665 amount of wheat, and a 0.5000 exponent.
Agent 23 has 0.4871 amount of cash, 0.5129 amount of wheat, and a 0.5000 exponent.
Agent 24 has 0.3870 amount of cash, 0.6130 amount of wheat, and a 0.5000 exponent.
Agent 25 has 0.0821 amount of cash, 0.9179 amount of wheat, and a 0.5000 exponent.
Agent 26 has 0.0221 amount of cash, 0.9779 amount of wheat, and a 0.5000 exponent.
Agent 27 has 0.0301 amount of cash, 0.9699 amount of wheat, and a 0.5000 exponent.
Agent 28 has 0.2890 amount of cash, 0.7110 amount of wheat, and a 0.5000 exponent.
Agent 29 has 0.3236 amount of cash, 0.6764 amount of wheat, and a 0.5000 exponent.
Agent 30 has 0.3111 amount of cash, 0.6889 amount of wheat, and a 0.5000 exponent.
Agent 31 has 0.0445 amount of cash, 0.9555 amount of wheat, and a 0.5000 exponent.
Agent 32 has 0.0639 amount of cash, 0.9361 amount of wheat, and a 0.5000 exponent.
Agent 33 has 0.0920 amount of cash, 0.9080 amount of wheat, and a 0.5000 exponent.
Agent 34 has 0.2871 amount of cash, 0.7129 amount of wheat, and a 0.5000 exponent.
Agent 35 has 0.2834 amount of cash, 0.7166 amount of wheat, and a 0.5000 exponent.
Agent 36 has 0.0669 amount of cash, 0.9331 amount of wheat, and a 0.5000 exponent.
Agent 37 has 0.2165 amount of cash, 0.7835 amount of wheat, and a 0.5000 exponent.
Agent 38 has 0.0469 amount of cash, 0.9531 amount of wheat, and a 0.5000 exponent.
Agent 39 has 0.4682 amount of cash, 0.5318 amount of wheat, and a 0.5000 exponent.
Agent 40 has 0.4126 amount of cash, 0.5874 amount of wheat, and a 0.5000 exponent.
Agent 41 has 0.1983 amount of cash, 0.8017 amount of wheat, and a 0.5000 exponent.
Agent 42 has 0.2032 amount of cash, 0.7968 amount of wheat, and a 0.5000 exponent.
Agent 43 has 0.2581 amount of cash, 0.7419 amount of wheat, and a 0.5000 exponent.
Agent 44 has 0.0731 amount of cash, 0.9269 amount of wheat, and a 0.5000 exponent.
Agent 45 has 0.4055 amount of cash, 0.5945 amount of wheat, and a 0.5000 exponent.
Agent 46 has 0.0118 amount of cash, 0.9882 amount of wheat, and a 0.5000 exponent.
Agent 47 has 0.0670 amount of cash, 0.9330 amount of wheat, and a 0.5000 exponent.
Agent 48 has 0.4431 amount of cash, 0.5569 amount of wheat, and a 0.5000 exponent.
Agent 49 has 0.1834 amount of cash, 0.8166 amount of wheat, and a 0.5000 exponent.

